Id,SalePrice
1461,117338
1462,164043
1463,194901
1464,189756
1465,152826
1466,195066
1467,145140
1468,174282
1469,162582
1470,113752
1471,159309
1472,120206
1473,131107
1474,169296
1475,104926
1476,267453
1477,185449
1478,200536
1479,215132
1480,305991
1481,259256
1482,163578
1483,166322
1484,137618
1485,168075
1486,202222
1487,285120
1488,188166
1489,149176
1490,175942
1491,196752
1492,128175
1493,181931
1494,269199
1495,254995
1496,174309
1497,193370
1498,143336
1499,142892
1500,146630
1501,175573
1502,130340
1503,172348
1504,213369
1505,176819
1506,213433
1507,282800
1508,225416
1509,193763
1510,150884
1511,148695
1512,179800
1513,207922
1514,204802
1515,278564
1516,189658
1517,141264
1518,188624
1519,175703
1520,140618
1521,148929
1522,187300
1523,160979
1524,134335
1525,124747
1526,128190
1527,124113
1528,149037
1529,143666
1530,167913
1531,211247
1532,116767
1533,160312
1534,151070
1535,194007
1536,151333
1537,109392
1538,185561
1539,258047
1540,256831
1541,176229
1542,187842
1543,236484
1544,99354
1545,138119
1546,144764
1547,171685
1548,167605
1549,128726
1550,180222
1551,131554
1552,225678
1553,187122
1554,156113
1555,200625
1556,150736
1557,167694
1558,116006
1559,216491
1560,195046
1561,213954
1562,114393
1563,111507
1564,164083
1565,173556
1566,183867
1567,101239
1568,233599
1569,196085
1570,135723
1571,181762
1572,144605
1573,184757
1574,158795
1575,173327
1576,211890
1577,148363
1578,176066
1579,124159
1580,198468
1581,133229
1582,112520
1583,228858
1584,240646
1585,107598
1586,88876
1587,125465
1588,147440
1589,140706
1590,134583
1591,120533
1592,154387
1593,110715
1594,296516
1595,196101
1596,244992
1597,252967
1598,201137
1599,126559
1600,142860
1601,78082
1602,137602
1603,121226
1604,190035
1605,222858
1606,156400
1607,237695
1608,164239
1609,149149
1610,173028
1611,157979
1612,171781
1613,164018
1614,116318
1615,130972
1616,131253
1617,131246
1618,111964
1619,111634
1620,274214
1621,155824
1622,177153
1623,210360
1624,211768
1625,116801
1626,172253
1627,190305
1628,261452
1629,191204
1630,283291
1631,174955
1632,201953
1633,166009
1634,191439
1635,179842
1636,144968
1637,225290
1638,238227
1639,197341
1640,302338
1641,201185
1642,216856
1643,216148
1644,210250
1645,191121
1646,139198
1647,147794
1648,144314
1649,131267
1650,110982
1651,112280
1652,120206
1653,120206
1654,178866
1655,127663
1656,169342
1657,178903
1658,169351
1659,104809
1660,139990
1661,313853
1662,304078
1663,234516
1664,303305
1665,204520
1666,212798
1667,293676
1668,204445
1669,182769
1670,213276
1671,207872
1672,281303
1673,274573
1674,189752
1675,162181
1676,155603
1677,164434
1678,285166
1679,255132
1680,217114
1681,172070
1682,205464
1683,164795
1684,175019
1685,177219
1686,145391
1687,165517
1688,191136
1689,188815
1690,177146
1691,161361
1692,233213
1693,165715
1694,179390
1695,170217
1696,267179
1697,170281
1698,304011
1699,237922
1700,236612
1701,256091
1702,200113
1703,195514
1704,200031
1705,171343
1706,282504
1707,171000
1708,167898
1709,183813
1710,171920
1711,210000
1712,212617
1713,196206
1714,183639
1715,193619
1716,149434
1717,140046
1718,141811
1719,211782
1720,180312
1721,140931
1722,140931
1723,140519
1724,172014
1725,244538
1726,201332
1727,159661
1728,182536
1729,168772
1730,217475
1731,124820
1732,111948
1733,112332
1734,128686
1735,116463
1736,116039
1737,236094
1738,206738
1739,330515
1740,198354
1741,149813
1742,175585
1743,169865
1744,202221
1745,207476
1746,282427
1747,239649
1748,297596
1749,161682
1750,148826
1751,263283
1752,111042
1753,185768
1754,236953
1755,164587
1756,114360
1757,111701
1758,164282
1759,204958
1760,159128
1761,157709
1762,244738
1763,187840
1764,122755
1765,198737
1766,174473
1767,189036
1768,141192
1769,162732
1770,125313
1771,147207
1772,165895
1773,148091
1774,216630
1775,132260
1776,140722
1777,104564
1778,128709
1779,148555
1780,182715
1781,147562
1782,102469
1783,164137
1784,129884
1785,135312
1786,270297
1787,196846
1788,82385
